"year","operatingcarrier","airlinename","totalflights","sumofyearlydelayeddeapartureminutes","sumofyearlydelayedsarrivalminutes","delayeddepartedflights","delayedarrivalflights","ontimeperformancedeparture","ontimeperformancearrival"
"2023","AS","Alaska Airlines Inc.","186383","2038552","2173825","68772","74700","63.1017850340428043","59.9212374519135329"
"2023","B6","JetBlue Airways","210107","6162624","6054490","98884","95760","52.9363609970158062","54.4232224533214029"
"2023","C5","CommuteAir LLC dba CommuteAir","53205","833187","888030","14137","17666","73.4291889859975566","66.7963537261535570"
"2023","DL","Delta Air Lines Inc.","738244","11130401","10611440","267954","239826","63.7038702651155986","67.5139926636721734"
"2023","F9","Frontier Airlines Inc.","128670","3588545","3585862","62760","63656","51.2240615528095127","50.5277065361001010"
"2023","G4","Allegiant Air","87476","1919211","2076151","35107","38945","59.8667062965842060","55.4792171567058393"
"2023","G7","GoJet Airlines LLC d/b/a United Express","33108","470707","530059","9266","11488","72.0128065724296243","65.3014377189803069"
"2023","HA","Hawaiian Airlines Inc.","60729","788350","867000","30089","32908","50.4536547613166691","45.8117209241054521"
"2023","MQ","Envoy Air","167133","1843906","2085008","49908","59374","70.1387517725404319","64.4749989529297027"
"2023","NK","Spirit Air Lines","194830","4625086","4671390","92150","91449","52.7023559000153980","53.0621567520402402"
"2023","OH","PSA Airlines Inc.","145127","1923844","2034209","37541","46251","74.1323116994081046","68.1306717564615819"
"2023","OO","SkyWest Airlines Inc.","502219","6526808","6905783","128504","160205","74.4127561880374896","68.1005696717965668"
"2023","PT","Piedmont Airlines","73850","861427","946992","14767","21579","80.0040622884224780","70.7799593771157752"
"2023","QX","Horizon Air","50648","394503","420299","14612","16719","71.1498973305954825","66.9898120360132680"
"2023","UA","United Air Lines Inc.","548575","9878723","9757812","223264","208963","59.3010983001412751","61.9080344529006973"
"2023","WN","Southwest Airlines Co.","1059603","15107657","13904880","555814","454566","47.5450711256951896","57.1003479605097381"
"2023","YV","Mesa Airlines Inc.","66307","1685864","1649747","25755","25741","61.1579471247379613","61.1790610342799403"
"2023","YX","Republic Airline","228303","2147187","2389620","44255","58924","80.6156730310157992","74.1904398978550435"
"2023","ZW","Air Wisconsin Airlines Corp","44826","1035355","1063683","14884","16985","66.7960558604381386","62.1090438584749922"
